Type,Country Code,Series Code,Description
Country-Series,Panama (PAN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Peru (PER),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Philippines (PHL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Palau (PLW),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Bureau of Budget and Planning, Office of Planning and Statistics"
Country-Series,Papua New Guinea (PNG),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Poland (POL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Central Statistical Office"
Country-Series,Puerto Rico (PRI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : U.S. Census Bureau, United Nations World Population Prospects"
Country-Series,"Korea, Dem. Rep. (PRK)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Portugal (PRT),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Paraguay (PRY),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,French Polynesia (PYF),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Qatar (QAT),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Romania (ROM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, National Institute of Statistics"
Country-Series,Russian Federation (RUS),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Russian Federation Federal State Statistics Service, TransMonEE"
Country-Series,Rwanda (RWA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Saudi Arabia (SAU),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Sudan (SDN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan.
Country-Series,Senegal (SEN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Singapore (SGP),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Department of Statistics Singapore
Country-Series,Solomon Islands (SLB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Sierra Leone (SLE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,El Salvador (SLV),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,San Marino (SMR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Somalia (SOM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Serbia (SRB),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including Kosovo.
Country-Series,Serbia (SRB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Council of Europe, INED"
Country-Series,South Sudan (SSD),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,São Tomé and Principe (STP),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Suriname (SUR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Slovak Republic (SVK),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Slovenia (SVN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, United Nations World Population Prospects"
Country-Series,Sweden (SWE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Statistics Sweden"
Country-Series,Swaziland (SWZ),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Sint Maarten (Dutch part) (SXM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Central bureau of Statistics Netherlands Antilles
Country-Series,Seychelles (SYC),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : National Bureau of Statistics
Country-Series,Syrian Arab Republic (SYR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Chad (TCD),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Togo (TGO),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Thailand (THA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Tajikistan (TJK),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Turkmenistan (TKM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Timor-Leste (TMP),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : United Nations World Population Prospects, DHS 2009"
Country-Series,Tonga (TON),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Trinidad and Tobago (TTO),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Tunisia (TUN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : National Bureau of Statistics, United Nations World Population Prospects"
Country-Series,Turkey (TUR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Tanzania (TZA),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including Zanzibar.
Country-Series,Tanzania (TZA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
